id,person_id,book,content,is_review
39,18262,《诗辩坻》,王子安七言占风，能从乐府脱出，故宜华不伤质，自然高浑矣。,true
40,18262,《读雪山房唐诗序例》,王勃绝句，若无可喜，而优柔不迫，有一唱三叹之音。,true
41,18262,《三唐诗品》,其源出于吴、何，而益谐音律，情词朗秀，结风隽响，但言外无妍，微伤深致。五言短绝，隽永见珍。《采莲曲》、《临高台》亦杂言新体之遗也。,true
42,18262,全唐文,勃字子安。絳州龍門人。未冠應幽素舉及第。授朝散郎。沛王賢聞其名。召為沛府修撰。是時諸王鬬雞。戲為文檄英王雞。高宗覽之怒。斥出府。久之。補虢州參軍。官奴曹達犯罪。勃匿之。既懼事洩。殺達滅口。事覺當誅。會赦除名。上元二年。渡南海墮水卒。年二十八。(謹按新書作二十九),false
43,13975,中國歷代人名大辭典,"【生卒】：?—712
【介紹】：
唐汾州人，一說虢州弘農人，字延清，一名少連。宋令文子。高宗上元二年進士。善文辭，詩與沈佺期齊名，學者號為“沈宋”。從武則天游龍門，賦詩冠諸臣。歷轉洺州參軍、左奉宸內供奉，媚附張易之兄弟。中宗神龍時，貶瀧州參軍。景龍中，累遷考功員外郎、修文館學士，復媚太平公主。及典舉，引拔后進，多知名者。坐貪贓受賄，貶越州長史。睿宗立，流欽州，玄宗先天中賜死。工五律，律詩之格至沈、宋始備。有集。",false
44,13975,唐詩大辭典 修訂本,"【生卒】：656—713
    一名少連，字延清，排行五，汾州西河(今山西汾陽)人，一說虢州弘農(今河南靈寶)人，疑西河為郡望，弘農為實籍。因曾官考功員外郎，世稱宋考功。高宗上元二年(675)登進士第。武周天授元年(690)與楊炯并以學士分直習藝館，歷洛州參軍，復與修《三教珠英》，遷左奉宸內供奉。神龍元年(705)，中宗復辟，之問以諂事張易之，坐貶瀧州參軍。次年春逃歸洛陽匿張仲之家，令兄子告發仲之謀殺武三思事，擢鴻臚主簿。景龍中以戶部員外郎兼修文館直學士，再轉考功員外郎，三年(707)知貢舉貪賄，貶越州長史。睿宗立，流于欽州，后賜死，約當玄宗先天中。生平見新、舊《<a href='https://cnkgraph.com/Book/2195' target='_blank'>唐書</a>》本傳、《<a href='https://cnkgraph.com/Book/2071' target='_blank'>唐才子傳</a>》卷一。之問與沈佺期齊名，并稱沈宋，于初唐時律體之完成頗有貢獻。尤善五律，觀察入微，巧思善煉，能于精麗縝密中見自然之致。《夏日仁萼亭應制》、《扈從登封途中作》等篇，雖體沿唐初宮廷格局，卻寬然有遠意，頗見新進境。流貶中所作，如《途中逢寒食》、《題大庾嶺北驛》、《度大庾嶺》等，更以凄情運精思，語近旨遠，清通圓美，開盛唐先聲。五言排律取景寬大，故富麗整嚴而警秀不滯。明胡應麟評為“古今排律絕唱”(《<a href='https://cnkgraph.com/Book/6663' target='_blank'>詩藪</a>》內編卷四)。名篇有《初至崖口》、《早發始興江口至虛氏村作》、《靈隱寺》等，而《奉和晦日幸昆明池應制》為上官婉兒評為群作之冠。律體外，五絕如《渡漢江》，語淺情深，思致婉曲，七古如《寒食還陸渾別業》、《明河篇》，整麗流蕩而清氣發越，均足為初盛唐中介。原集10卷，唐武平一輯，久佚。今存《<a href='https://cnkgraph.com/Book/8201' target='_blank'>宋之問集</a>》2卷，后人所輯，有《四部叢刊續編》本。今人陶敏有《宋之問集校注》。《<a href='https://cnkgraph.com/Book/2484' target='_blank'>全唐詩</a>》編其詩為3卷，《全唐詩外編》及《全唐詩續拾》補27首，斷句9。",false
45,13975,唐诗汇评,宋之问（656？-712），—名少连，字延清，虢州弘农（今河南灵宝）人。高宗上元二年（675）进士，授洛州参军，寒转尚方监丞，左奉宸内供奉。倾附张易之兄弟，易之败，左迁泷州参军。未几遇赦归，起为鸿胪主簿。中宗景龙中，再转考功员外郎，知景龙二年贡举。寻抟越州长史。睿宗即位，眨钦州。玄宗先天初，赐死于核州。之问以文词知名，工五言律诗，声律精切，与沈佺期齐名，并称“沈宋”。有《<a href='https://cnkgraph.com/Book/8201' target='_blank'>宋之问集</a>》十卷，已佚。今《宋学士集》九卷乃明张燮所辑。《<a href='https://cnkgraph.com/Book/2484' target='_blank'>全唐诗</a>》编诗三卷。,false
46,13975,元稹《故部员外郎杜君墓系铭》,唐兴，学官大振，历世之久，能者互出。而又沈、宋之流，研练精切，稳顺声势，谓之为律诗。由是而后，文体之变极焉。,true
47,13975,《新唐书·文艺传》,魏建安后迄江左，诗律屡变，至沈约、庾信以音韵相婉附，属对精密。及之问、沈佺期又加靡丽，回忌声病，约句准篇，如锦绣成文，学者宗之，号为“沈宋”。,true
48,13975,《唐才子传》,语曰：“苏李居前，沈宋比肩。”谓唐诗变体，始自二公，犹汉人五言诗始自苏武、李陵也。,true
