id,name,type,aliases,desc,writing_count
373,惜奴娇,Ze,,元高拭词注“双调”。按《高丽史·乐志》，宋赐大晟乐内有《惜奴娇曲破》，择其雅者，亦为类列。,35
374,卓牌子近,Ze,,宋人填词，有犯、有近、有促拍、有近拍。近者，其腔调微近也。此调见《袁宣卿集》，名《卓牌子近》，因字句与《卓牌子》不同，故另录于此。,3
375,三登乐,Ze,,调见《石湖词》。按《汉书·食货志》：“三考黜陟，馀三年食，进业曰登。再登曰平，馀六年食。三登曰泰平，二十七岁，遗九年食。然后王德流洽，礼乐成焉。”《三登乐》之调名取此。,12
376,檐前铁,Ze,,调见《古今词话》。因词中有“檐前铁马戛叮当”句，故名。,2
377,甘露歌,PingZeSwitch,古祝英台,调见《乐府雅词》，一名《古祝英台》。,2
378,忆帝京,Ze,,《乐章集》注“南吕调”。,10
379,于飞乐,Ping,鸳鸯怨曲,金词注“高平调”。元词注“南吕调”。史达祖词名《鸳鸯怨曲》。,15
380,撼庭竹,PingAndZe,,此调有平韵、仄韵两体。,3
381,粉蝶儿,Ze,,调见毛滂《东堂词》。因词有“粉蝶儿，这回共花同活”句，取以为名。金词注“中吕调”。《太和正音谱》：“中吕宫”。,25
382,绕池游,Ze,,调见《乐府雅词》。蒋氏《九宫谱》注“双调”。,5
383,师师令,Ze,,杨慎《词品》：李师师，汴京名妓，张先为制新词，名《师师令》。,15
384,隔浦莲近拍,Ze,隔浦莲|隔浦莲近,唐《白居易集》有《隔浦莲》曲，调名本此。一名《隔浦莲》，又名《隔浦莲近》。,62
385,郭郎儿近拍,Ze,,调见《乐章集》，注“仙吕调”。按《乐府杂录》，傀儡子戏，其引歌舞有郭郎者，善优笑，闾里呼为郭郎，凡戏场必在俳儿之首。柳词调名或取诸此。,3
386,临江仙引,Ping,,调见《乐章集》，注“南吕调”。与《临江仙令》、《临江仙慢》不同。,10
387,碧牡丹,Ze,,金词注“中吕调”。,26
388,百媚娘,Ze,,调见张先词集，取词中“百媚算应天乞与”句为名。,16
389,风入松,Ping,风入松慢|远山横,古琴曲有《风入松》。唐僧皎然有《风入松》歌，见《乐府诗集》，调名本此。《宋史·乐志》注“林钟商”。元高拭词注“仙吕调”，又“双调”。蒋氏《十三调》注“双调”。亦名《风入松慢》。韩淲词有“小楼春映远山横”句，名《远山横》。,479
390,传言玉女,Ze,,高拭词注“黄钟宫”。按《汉武内传》，帝閒居承华殿，忽见一女子曰：“我墉宫玉女王子登也。至七月七日，王母暂来。”言讫，不知所在。世所谓传言玉女也。调名取此。,71
391,枕屏儿,Ze,,调见《梅苑》。,2
392,剔银镫,Ze,剔银灯|剔银灯引|剔银镫引,《乐章集》注“仙吕调”。金词亦注“仙吕调”。元高拭词注“中吕宫”。蒋氏《九宫谱》属中吕调，名《剔银灯引》。,50
393,隔帘听,Ze,,唐教坊曲名。《乐章集》注“林钟商”。,9
394,越溪春,Ping,,调见《六一居士词》，因词中有“春色遍天涯，越溪阆苑繁华地”句，取以为名，盖赋越溪春色也。,13
395,长生乐,Ping,,调见《珠玉集》。,5
396,诉衷情近,Ze,,调见《乐章集》，注“林钟商”。与《诉衷情令》不同。,15
397,下水船,Ze,,唐教坊曲名。按唐王保定《摭言》：裴庭裕，乾宁中在内庭，文书敏捷，号“下水船”。调名取此。,11
398,解蹀躞,Ze,玉蹀躞,曹勋词名《玉蹀躞》。,32
399,扑蝴蝶,Ze,扑蝴蝶近,按周密《癸辛杂志》云：“吴有小妓，善舞《扑蝴蝶》。”疑是舞曲。邵叔齐词名《扑蝴蝶近》。,22
400,千年调,Ze,相思会,曹组词名《相思会》，因词有“刚作千年调”句，辛弃疾改名《千年调》。,11
401,蕊珠閒,Ze,蕊珠闲,调见《介庵词》。,2
402,瑞云浓,Ze,,调见《逃禅集》。蒋氏《九宫谱》入黄钟宫。,9
403,番枪子,Ze,春草碧,调见金韩玉《东浦词》。李献能因此词后段结句有“春草碧”句，更名《春草碧》。,18
404,荔枝香,Ze,荔枝香近,《唐史·乐志》：“帝幸骊山，贵妃生日，命小部张乐长生殿，奏新曲，未有名，会南方进荔枝，因名《荔枝香》。”《碧鸡漫志》：“今歇指调、大石调，皆有近拍，不知何者为本曲。”按《荔枝香》有两体，七十六字者始自柳永，《乐章集》注“歇指调”，有周邦彦、方千里、杨泽民、陈允平及吴文英词可校。七十三字者始自周邦彦，有方千里、杨泽民、陈允平和词及袁去华词可校，一名《荔枝香近》。,36
