id,writing_id,allusion_index,allusion_key,sentence_index
260,42178,,,10
261,42178,,,42
262,42178,,,45
263,42178,,,18
264,42178,,,8
265,42178,,,44
266,42178,,,-1
267,42178,,,25
268,42178,,,25
269,42178,,,13
270,42178,,,45
271,42178,,,41
272,42178,,,7
273,42178,,,14
274,42178,,,21
275,42178,,,22
276,42171,,,30
277,42171,,,-1
278,42171,,,10
279,42171,,,26
280,42171,,,34
281,42171,,,33
282,42171,,,26
283,42171,,,-1
284,42171,,,9
285,42171,,,34
286,42174,,,0
287,42174,,,7
288,42174,,,3
289,42174,,,7
290,42174,,,4
291,42174,,,12
292,42174,,,12
293,42174,,,1
294,42174,,,2
295,42176,,,32
296,42176,,,34
297,42176,,,36
298,42176,,,43
299,42176,,,43
300,42176,,,45
301,42176,,,36
302,42176,,,47
303,42176,,,21
304,42176,,,7
305,42176,,,39
306,42176,,,19
307,42176,,,29
308,42176,,,4
309,42176,,,47
310,42176,,,5
311,42176,,,39
312,42176,,,31
313,42176,,,20
314,42176,,,12
315,42176,,,24
316,42176,,,31
317,42176,,,30
318,42176,,,30
319,42176,,,19
320,42176,,,32
321,42176,,,20
322,42181,,,99
323,42181,,,70
324,42181,,,90
325,42181,,,71
326,42181,,,81
327,42181,,,79
328,42181,,,97
329,42181,,,19
330,42181,,,82
331,42181,,,39
332,42181,,,70
333,42181,,,86
334,42181,,,14
335,42181,,,14
336,42181,,,87
337,42181,,,39
338,42181,,,34
339,42181,,,51
340,42181,,,90
341,42181,,,19
342,42181,,,33
343,42181,,,33
344,42181,,,-1
345,42181,,,86
346,42181,,,97
347,42181,,,79
348,42181,,,65
349,42181,,,66
350,42181,,,66
351,42181,,,80
352,42181,,,82
353,42179,,,11
354,42179,,,30
355,42179,,,24
356,42179,,,9
357,42179,,,11
358,42179,,,30
359,42179,,,13
360,42179,,,14
361,42179,,,31
362,42179,,,3
363,42179,,,17
364,42179,,,31
365,42169,,,46
366,42169,,,23
367,42169,,,45
368,42169,,,1
369,42169,,,24
370,42169,,,3
371,42169,,,41
372,42169,,,25
373,42169,,,45
374,42169,,,24
375,42169,,,41
376,42180,,,1
377,42172,,,15
378,42173,,,8
379,42173,,,1
380,27423,,,3
381,27365,,,3
382,27434,,,2
383,27372,,,3
384,27445,,,3
385,27445,,,3
386,27348,,,2
387,27348,,,3
388,27348,,,2
389,27362,,,3
390,27362,,,1
391,27384,,,1
392,27387,,,0
393,27387,,,0
394,27387,,,2
395,27387,,,2
396,27387,,,3
397,27333,,,3
398,27333,,,0
399,27321,,,3
400,27449,,,3
401,27449,,,0
402,27382,,,1
403,27343,,,0
404,27397,,,3
405,27397,,,0
406,27397,,,0
407,27429,,,3
408,27342,,,3
409,27342,,,0
410,27342,,,0
411,27404,,,1
412,27391,,,2
413,27391,,,2
414,27385,,,2
415,27314,,,3
416,27314,,,3
417,27337,,,1
418,27337,,,3
419,27337,,,1
420,27323,,,3
421,27349,,,3
422,27349,,,2
423,27349,,,2
424,27349,,,1
425,27349,,,0
426,27351,,,0
427,27442,,,2
428,27442,,,3
429,27403,,,0
430,27403,,,0
431,27403,,,3
432,27335,,,2
433,27380,,,1
434,27380,,,2
435,27380,,,0
436,27320,,,0
437,27462,,,2
438,27462,,,3
439,27357,,,0
440,27357,,,3
441,27357,,,0
442,27408,,,2
443,27392,,,0
444,27392,,,3
445,27392,,,0
446,27457,,,3
447,27498,,,1
448,27373,,,3
449,27373,,,0
450,27328,,,2
451,27435,,,3
452,27435,,,-1
453,27444,,,0
454,27444,,,0
455,27455,,,0
456,27455,,,0
457,27453,,,1
458,27453,,,2
459,27453,,,1
460,27453,,,3
461,27456,,,0
462,27456,,,3
463,27407,,,1
464,27339,,,3
465,27339,,,0
466,27381,,,3
467,27415,,,2
468,27415,,,2
469,27447,,,2
470,27447,,,3
471,27338,,,2
472,27354,,,3
473,27332,,,2
474,27332,,,2
475,27416,,,0
476,27416,,,3
477,27416,,,0
478,27412,,,0
479,27412,,,2
480,27412,,,3
481,27412,,,2
482,27446,,,3
483,27405,,,3
484,27414,,,2
485,27414,,,3
486,27414,,,0
487,27334,,,0
488,27352,,,3
489,27463,,,1
490,27438,,,3
491,27438,,,3
492,27379,,,0
493,27379,,,2
494,27410,,,3
495,27340,,,0
496,27402,,,3
497,27401,,,0
498,27356,,,0
499,27356,,,0
500,27421,,,-1
501,27420,,,3
502,27460,,,1
503,27460,,,1
504,27325,,,2
505,27325,,,3
506,27325,,,-1
507,27450,,,2
508,27450,,,2
509,27450,,,0
510,27448,,,1
511,27448,,,1
512,27448,,,2
513,27448,,,2
514,27431,,,1
515,27465,,,0
516,27465,,,2
517,27428,,,2
518,27428,,,2
519,27315,,,0
520,27315,,,0
521,27331,,,0
522,27331,,,2
523,27331,,,3
524,27331,,,0
